regime,auc_gbm,auc_gnn,auc_diff,diff_lo,diff_hi,delong_z,delong_p,mcnemar_b,mcnemar_c,mcnemar_p,delong_q_bh,gbm_beats_gnn_fdr05
loso_species,0.9597516370715593,0.8792844079995281,0.08046722907203119,0.05709097172036286,0.10431050875690774,6.646907004753105,2.9931600500085306e-11,530,32,1.378456434409616e-97,5.986320100017061e-11,True
host_cluster,0.9536452027845037,0.8776152012711864,0.07603000151331729,0.053093581410277174,0.10001013814781613,6.38701036403022,1.691601779530304e-10,552,25,2.7342966491016468e-106,2.2554690393737388e-10,True
phage_cluster,0.853132318501171,0.6046252927400468,0.24850702576112416,0.1950543917028744,0.3023998434771896,8.991449456196667,2.439910907187688e-19,76,74,0.9349253116421172,9.759643628750753e-19,True
combined_unseen,0.780350601779173,0.6207155939298796,0.1596350078492934,0.0997667079643171,0.2201415800789062,5.143854117995271,2.691585723922819e-07,161,58,5.481209713665209e-12,2.691585723922819e-07,True
