strategy,n_phages,end_load,nadir,log10_drop,resistant_frac_end,rebound
control,0,1000000000.0,5000000.0,0.0,0.0,False
monophage,1,999999943.96825,5000000.0,0.0,0.0,False
cocktail_k1,4,999999992.6300071,29116.60920039103,2.23,1.0,True
robust_k2,8,602396.779770745,7472.422920246604,2.83,0.0,True
