regime,model,mean_auc,ci_lo,ci_hi,pooled_auc,pooled_pr,ece,folds_used
loso,GBM,0.6467,0.6112,0.7226,0.7315,0.5666,0.0677,60
logo,GBM,0.6734,0.61,0.7346,0.617,0.383,0.2367,32
cross_study,GBM,0.4835,0.4207,0.5599,0.1249,0.1868,0.5897,3
cross_study,EdgeMLP,0.6099,0.5545,0.6995,0.3536,0.239,0.3282,3
