regime,auc_gbm,auc_phist,auc_diff,diff_lo,diff_hi,delong_z,delong_p,delong_q_bh,gbm_beats_phist_fdr05
loso_species,0.9597516370715593,0.6840501052051993,0.27570153186636004,0.2517990805224267,0.30003279805416605,22.401160071448793,3.8346263684474534e-111,1.5338505473789813e-110,True
host_cluster,0.9536452027845037,0.680708989104116,0.2729362136803877,0.24777700060457541,0.29877310135094926,20.84300170786083,1.7642231835650498e-96,3.5284463671300995e-96,True
phage_cluster,0.853132318501171,0.653483606557377,0.19964871194379397,0.15366002259611947,0.24492935523082593,8.702719487866451,3.2402413841635877e-18,4.32032184555145e-18,True
combined_unseen,0.780350601779173,0.6814658555729984,0.0988847462061746,0.04058565380633016,0.15554534677387663,3.3329351683836013,0.0008593496446189598,0.0008593496446189598,True
