Regime,GBM AUC,GBM ECE,GBM > chance (q),GNN AUC,GBM−GNN ΔAUC,DeLong q
Unseen species (LOSO),0.960 (0.946–0.974),0.024,1.0e-03,0.879 (0.851–0.907),+0.080 (0.057–0.104),6.0e-11
Unseen host cluster,0.954 (0.938–0.969),0.047,1.0e-03,0.878 (0.850–0.905),+0.076 (0.053–0.100),2.3e-10
Unseen phage cluster,0.853 (0.815–0.891),0.424,1.0e-03,0.605 (0.546–0.663),+0.249 (0.195–0.302),9.8e-19
Both unseen (cold start),0.780 (0.729–0.832),0.166,1.0e-03,0.621 (0.555–0.686),+0.160 (0.100–0.220),2.7e-07
