size,greedy,oracle,random_mean
1,0.030434782608695653,0.034782608695652174,0.0043478260869565235
2,0.06521739130434782,0.06521739130434782,0.008521739130434785
3,0.09130434782608696,0.09130434782608696,0.01243478260869565
4,0.10869565217391304,0.11739130434782609,0.016869565217391313
5,0.13043478260869565,0.14347826086956522,0.020695652173913035
6,0.1565217391304348,0.16521739130434782,0.025130434782608697
7,0.16521739130434782,0.1826086956521739,0.028608695652173933
8,0.17391304347826086,0.1956521739130435,0.03217391304347828
9,0.18695652173913044,0.20434782608695654,0.03565217391304349
10,0.19130434782608696,0.21304347826086956,0.03921739130434782
11,0.2,0.2217391304347826,0.04234782608695652
12,0.20869565217391303,0.23043478260869565,0.04669565217391305
13,0.21304347826086956,0.2391304347826087,0.04999999999999998
14,0.21739130434782608,0.24347826086956523,0.05426086956521739
15,0.2217391304347826,0.24782608695652175,0.05730434782608691
16,0.22608695652173913,0.25217391304347825,0.06086956521739131
17,0.23043478260869565,0.2565217391304348,0.064
18,0.23478260869565218,0.2608695652173913,0.06721739130434783
19,0.2391304347826087,0.26521739130434785,0.06982608695652175
20,0.24347826086956523,0.26956521739130435,0.0726086956521739
21,0.24782608695652175,0.27391304347826084,0.07565217391304348
22,0.25217391304347825,0.2782608695652174,0.07747826086956522
23,0.2565217391304348,0.2826086956521739,0.08095652173913043
24,0.2608695652173913,0.28695652173913044,0.08356521739130436
25,0.26521739130434785,0.29130434782608694,0.08652173913043479
26,0.26956521739130435,0.2956521739130435,0.08921739130434782
27,0.27391304347826084,0.3,0.09191304347826089
28,0.2782608695652174,0.30434782608695654,0.09452173913043481
29,0.2826086956521739,0.30869565217391304,0.0973913043478261
30,0.28695652173913044,0.3130434782608696,0.09913043478260869
31,0.29130434782608694,0.3173913043478261,0.1017391304347826
32,0.29130434782608694,0.3217391304347826,0.10460869565217389
33,0.2956521739130435,0.32608695652173914,0.10704347826086956
34,0.3,0.33043478260869563,0.10930434782608696
35,0.30434782608695654,0.3347826086956522,0.11165217391304347
36,0.30869565217391304,0.3391304347826087,0.1142608695652174
37,0.3130434782608696,0.34347826086956523,0.11652173913043479
38,0.3173913043478261,0.34782608695652173,0.11834782608695653
39,0.3217391304347826,0.3521739130434783,0.12026086956521741
40,0.32608695652173914,0.3565217391304348,0.12208695652173918
41,0.33043478260869563,0.36086956521739133,0.1238260869565218
42,0.3347826086956522,0.3652173913043478,0.12591304347826093
43,0.3391304347826087,0.3695652173913043,0.12800000000000003
44,0.34347826086956523,0.3739130434782609,0.13000000000000003
45,0.34782608695652173,0.3782608695652174,0.13200000000000003
46,0.3521739130434783,0.3826086956521739,0.1340869565217392
47,0.3565217391304348,0.3869565217391304,0.1359130434782609
48,0.36086956521739133,0.391304347826087,0.13739130434782612
49,0.3652173913043478,0.39565217391304347,0.1396521739130435
50,0.3695652173913043,0.4,0.1414782608695652
51,0.3739130434782609,0.4043478260869565,0.1442608695652174
52,0.3782608695652174,0.40869565217391307,0.14704347826086958
53,0.3826086956521739,0.41304347826086957,0.14947826086956525
54,0.3869565217391304,0.41739130434782606,0.15130434782608698
55,0.391304347826087,0.4217391304347826,0.15304347826086956
56,0.39565217391304347,0.4260869565217391,0.15478260869565214
57,0.4,0.43043478260869567,0.15756521739130436
58,0.4043478260869565,0.43478260869565216,0.16008695652173915
59,0.40869565217391307,0.4391304347826087,0.16173913043478258
60,0.41304347826086957,0.4434782608695652,0.16400000000000003
61,0.41739130434782606,0.44782608695652176,0.16643478260869565
62,0.4217391304347826,0.45217391304347826,0.16852173913043475
63,0.4260869565217391,0.45652173913043476,0.17078260869565212
64,0.43043478260869567,0.4608695652173913,0.17339130434782615
65,0.43478260869565216,0.4652173913043478,0.1759130434782609
66,0.4391304347826087,0.46956521739130436,0.17739130434782613
67,0.4434782608695652,0.47391304347826085,0.1787826086956522
68,0.44782608695652176,0.4782608695652174,0.18060869565217394
69,0.45217391304347826,0.4826086956521739,0.1833913043478261
70,0.45217391304347826,0.48695652173913045,0.1853913043478261
71,0.45652173913043476,0.49130434782608695,0.1866956521739131
72,0.4608695652173913,0.4956521739130435,0.18765217391304354
73,0.4652173913043478,0.5,0.19
74,0.46956521739130436,0.5043478260869565,0.1918260869565217
75,0.47391304347826085,0.508695652173913,0.19399999999999995
76,0.4782608695652174,0.5130434782608696,0.1955652173913043
77,0.4826086956521739,0.5173913043478261,0.1971304347826087
78,0.48695652173913045,0.5217391304347826,0.19834782608695647
79,0.49130434782608695,0.5260869565217391,0.19982608695652168
80,0.4956521739130435,0.5304347826086957,0.20104347826086957
81,0.5,0.5347826086956522,0.20260869565217393
82,0.5043478260869565,0.5391304347826087,0.2044347826086957
83,0.508695652173913,0.5434782608695652,0.20626086956521741
84,0.5130434782608696,0.5478260869565217,0.20782608695652172
85,0.5173913043478261,0.5521739130434783,0.21000000000000005
86,0.5217391304347826,0.5565217391304348,0.2114782608695652
87,0.5260869565217391,0.5608695652173913,0.21347826086956523
88,0.5304347826086957,0.5652173913043478,0.21539130434782605
89,0.5347826086956522,0.5695652173913044,0.21713043478260868
90,0.5391304347826087,0.5739130434782609,0.21869565217391307
91,0.5434782608695652,0.5782608695652174,0.21982608695652178
92,0.5434782608695652,0.5826086956521739,0.22217391304347828
93,0.5478260869565217,0.5869565217391305,0.22382608695652176
94,0.5521739130434783,0.591304347826087,0.2250434782608696
95,0.5565217391304348,0.5956521739130435,0.22626086956521743
96,0.5608695652173913,0.6,0.2274782608695653
97,0.5652173913043478,0.6043478260869565,0.22913043478260878
98,0.5695652173913044,0.6086956521739131,0.2310434782608697
99,0.5739130434782609,0.6130434782608696,0.23286956521739138
100,0.5782608695652174,0.6173913043478261,0.23417391304347834
101,0.5826086956521739,0.6217391304347826,0.23565217391304352
102,0.5869565217391305,0.6260869565217392,0.23721739130434785
103,0.591304347826087,0.6304347826086957,0.2389565217391304
104,0.5956521739130435,0.6347826086956522,0.24104347826086958
105,0.6,0.6391304347826087,0.24269565217391306
106,0.6043478260869565,0.6434782608695652,0.2437391304347826
107,0.6086956521739131,0.6478260869565218,0.2452173913043478
108,0.6130434782608696,0.6521739130434783,0.24652173913043474
109,0.6173913043478261,0.6565217391304348,0.24826086956521734
110,0.6217391304347826,0.6608695652173913,0.2502608695652173
111,0.6217391304347826,0.6652173913043479,0.25156521739130433
112,0.6260869565217392,0.6695652173913044,0.2527826086956521
113,0.6304347826086957,0.6739130434782609,0.2546086956521738
114,0.6347826086956522,0.6782608695652174,0.25617391304347825
115,0.6391304347826087,0.6826086956521739,0.2576521739130435
116,0.6434782608695652,0.6869565217391305,0.25886956521739135
117,0.6478260869565218,0.691304347826087,0.26034782608695656
118,0.6521739130434783,0.6956521739130435,0.262
119,0.6565217391304348,0.7,0.26356521739130434
120,0.6608695652173913,0.7043478260869566,0.26460869565217393
121,0.6652173913043479,0.7086956521739131,0.26591304347826095
122,0.6695652173913044,0.7130434782608696,0.2670434782608696
123,0.6739130434782609,0.717391304347826,0.26817391304347826
124,0.6782608695652174,0.7217391304347827,0.27008695652173925
125,0.6826086956521739,0.7260869565217392,0.27121739130434797
126,0.6869565217391305,0.7304347826086957,0.2722608695652175
127,0.691304347826087,0.7347826086956522,0.2734782608695653
128,0.6956521739130435,0.7391304347826086,0.27495652173913043
129,0.7,0.7434782608695653,0.27695652173913043
130,0.7043478260869566,0.7478260869565218,0.2783478260869565
131,0.7086956521739131,0.7521739130434782,0.27991304347826085
132,0.7130434782608696,0.7565217391304347,0.2818260869565217
133,0.717391304347826,0.7608695652173914,0.2832173913043478
134,0.7217391304347827,0.7652173913043478,0.28521739130434787
135,0.7260869565217392,0.7695652173913043,0.2861739130434783
136,0.7304347826086957,0.7739130434782608,0.28704347826086957
137,0.7347826086956522,0.7782608695652173,0.2893043478260869
138,0.7391304347826086,0.782608695652174,0.29052173913043466
139,0.7391304347826086,0.7869565217391304,0.2912173913043477
140,0.7434782608695653,0.7913043478260869,0.29252173913043467
141,0.7478260869565218,0.7956521739130434,0.2945217391304347
142,0.7521739130434782,0.8,0.295913043478261
143,0.7565217391304347,0.8043478260869565,0.2971304347826088
144,0.7608695652173914,0.808695652173913,0.29843478260869566
145,0.7652173913043478,0.8130434782608695,0.2993913043478261
146,0.7695652173913043,0.8173913043478261,0.3003478260869565
147,0.7739130434782608,0.8217391304347826,0.3022608695652174
148,0.7782608695652173,0.8260869565217391,0.303304347826087
149,0.782608695652174,0.8304347826086956,0.30469565217391303
150,0.782608695652174,0.8347826086956521,0.30643478260869567
151,0.7869565217391304,0.8391304347826087,0.3075652173913044
152,0.7913043478260869,0.8434782608695652,0.3086956521739131
153,0.7956521739130434,0.8478260869565217,0.3101739130434782
154,0.8,0.8521739130434782,0.311304347826087
155,0.8043478260869565,0.8565217391304348,0.3131304347826087
156,0.808695652173913,0.8608695652173913,0.31382608695652175
157,0.808695652173913,0.8652173913043478,0.31556521739130433
158,0.8130434782608695,0.8695652173913043,0.3172173913043479
159,0.8173913043478261,0.8739130434782608,0.3183478260869565
160,0.8217391304347826,0.8782608695652174,0.3193043478260869
161,0.8260869565217391,0.8826086956521739,0.32017391304347825
162,0.8304347826086956,0.8869565217391304,0.3213913043478261
163,0.8347826086956521,0.8913043478260869,0.3220869565217391
164,0.8391304347826087,0.8956521739130435,0.32347826086956516
165,0.8434782608695652,0.9,0.3249565217391304
166,0.8478260869565217,0.9043478260869565,0.3261739130434782
167,0.8521739130434782,0.908695652173913,0.32739130434782604
168,0.8565217391304348,0.9130434782608695,0.3285217391304348
169,0.8608695652173913,0.9173913043478261,0.3293913043478261
170,0.8652173913043478,0.9217391304347826,0.3301739130434783
171,0.8695652173913043,0.9260869565217391,0.33139130434782615
172,0.8739130434782608,0.9304347826086956,0.33217391304347826
173,0.8782608695652174,0.9347826086956522,0.3334782608695653
174,0.8826086956521739,0.9391304347826087,0.33478260869565224
175,0.8869565217391304,0.9434782608695652,0.3365217391304348
176,0.8913043478260869,0.9478260869565217,0.33834782608695657
177,0.8956521739130435,0.9521739130434783,0.33947826086956523
178,0.9,0.9565217391304348,0.34008695652173915
179,0.9043478260869565,0.9608695652173913,0.34130434782608693
180,0.908695652173913,0.9652173913043478,0.34252173913043477
