regime,model,auc,auc_lo,auc_hi,ece,perm_p,perm_q_bh,above_chance_fdr05
loso_species,GBM,0.9597516370715593,0.9458395235652937,0.973663750577825,0.024120154571186363,0.000999000999000999,0.000999000999000999,True
loso_species,GNN,0.8792844079995281,0.8514210215951195,0.9071477944039368,0.5291401305785894,0.000999000999000999,0.000999000999000999,True
host_cluster,GBM,0.9536452027845037,0.9379119420516319,0.9693784635173756,0.04700561462989327,0.000999000999000999,0.000999000999000999,True
host_cluster,GNN,0.8776152012711864,0.8500396021680968,0.905190800374276,0.550014265243673,0.000999000999000999,0.000999000999000999,True
phage_cluster,GBM,0.853132318501171,0.8150971628935998,0.8911674741087422,0.42368187646692007,0.000999000999000999,0.000999000999000999,True
phage_cluster,GNN,0.6046252927400468,0.54582592705098,0.6634246584291137,0.4564695510176496,0.000999000999000999,0.000999000999000999,True
combined_unseen,GBM,0.780350601779173,0.7290400215031315,0.8316611820552146,0.16605595133300105,0.000999000999000999,0.000999000999000999,True
combined_unseen,GNN,0.6207155939298796,0.5550213006047199,0.6864098872550394,0.4562958718636292,0.000999000999000999,0.000999000999000999,True
