regime,model,n,auc,auc_lo,auc_hi,auprc,perm_p,perm_q_bh
loso_species,GBM,1057,0.9597516370715593,0.9458395235652937,0.973663750577825,0.9849395932903662,0.000999000999000999,0.0011417154274297131
loso_species,RaFAH_style,1057,0.6011715139716438,0.5599529229874016,0.642390104955886,0.7744014303116635,0.000999000999000999,0.0011417154274297131
host_cluster,GBM,1082,0.9536452027845037,0.9379119420516319,0.9693784635173756,0.9819956233011724,0.000999000999000999,0.0011417154274297131
host_cluster,RaFAH_style,1082,0.5752260517554477,0.5355368597701763,0.6149152437407192,0.7693621506537491,0.000999000999000999,0.0011417154274297131
phage_cluster,GBM,384,0.853132318501171,0.8150971628935998,0.8911674741087422,0.7530310470444488,0.000999000999000999,0.0011417154274297131
phage_cluster,RaFAH_style,384,0.7798302107728337,0.7292775196126223,0.830382901933045,0.6332352612410764,0.000999000999000999,0.0011417154274297131
combined_unseen,GBM,398,0.780350601779173,0.7290400215031315,0.8316611820552146,0.9030190569210224,0.000999000999000999,0.0011417154274297131
combined_unseen,RaFAH_style,398,0.4308281004709573,0.36948724874533023,0.4921689521965844,0.7125041204376069,0.986013986013986,0.986013986013986
