regime,model,n,auc,auc_lo,auc_hi,auprc,perm_p,perm_q_bh
loso_species,GBM,1057,0.9597516370715593,0.9458395235652937,0.973663750577825,0.9849395932903662,0.000999000999000999,0.000999000999000999
loso_species,PHIST,1057,0.6840501052051993,0.661657550153261,0.7064426602571375,0.8614478977007075,0.000999000999000999,0.000999000999000999
host_cluster,GBM,1082,0.9536452027845037,0.9379119420516319,0.9693784635173756,0.9819956233011724,0.000999000999000999,0.000999000999000999
host_cluster,PHIST,1082,0.680708989104116,0.6585811823500982,0.7028367958581339,0.8614390084163657,0.000999000999000999,0.000999000999000999
phage_cluster,GBM,384,0.853132318501171,0.8150971628935998,0.8911674741087422,0.7530310470444488,0.000999000999000999,0.000999000999000999
phage_cluster,PHIST,384,0.653483606557377,0.6073772244008462,0.6995899887139079,0.5872102309932778,0.000999000999000999,0.000999000999000999
combined_unseen,GBM,398,0.780350601779173,0.7290400215031315,0.8316611820552146,0.9030190569210224,0.000999000999000999,0.000999000999000999
combined_unseen,PHIST,398,0.6814658555729984,0.6455065837294627,0.7174251274165342,0.8435504167968748,0.000999000999000999,0.000999000999000999
